task|uuid|proband_id|stopping_criterion|intention
3|7A5B36C9-08FC-4E45-8583-420EAF4462EE|1210|timeout|diagnosis multiple sclerosis -> How/with which methods is multiple sceloris diagnosed
4|7A5B36C9-08FC-4E45-8583-420EAF4462EE|1210||historic events in the German history, as well as the current political and economic situation
1|1B643163-BAFB-4E9B-AC52-8C71369FCBDD|1209|timeout|Jack the Ripper -> how did women die / in which way have they been murdered
2|1B643163-BAFB-4E9B-AC52-8C71369FCBDD|1209|timeout|European Coal and Steel community: data, members, what they did
3|1B643163-BAFB-4E9B-AC52-8C71369FCBDD|1209|perfect results|the economy of Dawson Creek
4|1B643163-BAFB-4E9B-AC52-8C71369FCBDD|1209|timeout|general stuff about Germany
1|F8307604-0F44-4294-99BF-45C2281BF920|1208|perfect results|collapse of WTC
2|F8307604-0F44-4294-99BF-45C2281BF920|1208|perfect results|links to anonymous & project chronology -> added terms: scientology, guy fawkes mask
3|F8307604-0F44-4294-99BF-45C2281BF920|1208|perfect results|development of the push-up bra -> search was not relating to the topic, very broad and unspecific -> relation to the topic with new keywords: wonderbra, model 1300, pigeonnant, ... -> search results often did not fit, since push-up was put into releation with stomach muscle exercises
4|F8307604-0F44-4294-99BF-45C2281BF920|1208||
1|E50F229B-5434-4072-A49C-EF3393D318F3|1203|no results available|
2|E50F229B-5434-4072-A49C-EF3393D318F3|1203|perfect results|single player mode of the game
3|E50F229B-5434-4072-A49C-EF3393D318F3|1203|perfect results|guest stars in the TV series Supernatural (season 1)
4|E50F229B-5434-4072-A49C-EF3393D318F3|1203|timeout|general information about Germany and an overview (short) of its history
1|9192A898-D40B-48C0-B4CB-4001AFFA585F|1207||the history of FC Barcelona between 1923 and 1957
2|9192A898-D40B-48C0-B4CB-4001AFFA585F|1207||first structures of soccer world cups
3|9192A898-D40B-48C0-B4CB-4001AFFA585F|1207||orbit and rotation of the planet Uranus
4|9192A898-D40B-48C0-B4CB-4001AFFA585F|1207||Introductionary material for the country Germany
1|9CFFEC3B-62E4-4204-B684-AF8281C5FFAE|1202|no results available|
2|9CFFEC3B-62E4-4204-B684-AF8281C5FFAE|1202|timeout|
3|9CFFEC3B-62E4-4204-B684-AF8281C5FFAE|1202||before olympic games
4|9CFFEC3B-62E4-4204-B684-AF8281C5FFAE|1202|timeout|locations
1|524388DB-FA62-455E-A631-DB2E2F8CB390|1205|perfect results|
2|524388DB-FA62-455E-A631-DB2E2F8CB390|1205|timeout|formation only of the moon
3|524388DB-FA62-455E-A631-DB2E2F8CB390|1205|no results available|for the Greek mythology and the origin of popular works from that time
4|524388DB-FA62-455E-A631-DB2E2F8CB390|1205|perfect results|history of Germany, current situation and economic situation
1|D26D50F4-06E3-4FD0-839C-9764CFC82F9E|1102|timeout|
2|D26D50F4-06E3-4FD0-839C-9764CFC82F9E|1102|no results available|cancer lung causes
3|D26D50F4-06E3-4FD0-839C-9764CFC82F9E|1102|no results available|Zappas Olympics - Konstantinos Zappas. 1896 Summer Olympics, Panatheniac stadium
4|D26D50F4-06E3-4FD0-839C-9764CFC82F9E|1102|no results available|parliamentary system, weimar republic, east germany
1|97DF4BCC-EB51-4202-9940-FED9B26D6984|1108|timeout|causes of Alzheimer
2|97DF4BCC-EB51-4202-9940-FED9B26D6984|1108||for atheism - definitions and concepts of different mentors
3|97DF4BCC-EB51-4202-9940-FED9B26D6984|1108|no results available|the invention of the wonderbra
4|97DF4BCC-EB51-4202-9940-FED9B26D6984|1108|timeout|the basic economic & political facts (current) about Germany
1|73CE33A2-A6D9-4626-A385-16D3F3C855CF|1107|perfect results|technical terms, which lead to the identification/detection of dwarf planets
2|73CE33A2-A6D9-4626-A385-16D3F3C855CF|1107|perfect results|for keywords of south american antique languages. Also for names of the linguists
3|73CE33A2-A6D9-4626-A385-16D3F3C855CF|1107|perfect results|"keywords for the concept of Super Mario, such as ""Super FX chip"", but also for the internal codename"
4|73CE33A2-A6D9-4626-A385-16D3F3C855CF|1107|perfect results|a wide variety of terms which are relevant, respectively can be related to Germany immediately
1|9EF6F601-9BD0-4C9F-831B-C76967F58299|1104|timeout|important general terms, double helix, double stranded DNA
2|9EF6F601-9BD0-4C9F-831B-C76967F58299|1104|timeout|origin and evolution of bacteria
3|9EF6F601-9BD0-4C9F-831B-C76967F58299|1104|no results available|feet and legs, frog species
1|D42CF4FD-1A01-4D2D-88FF-116EB1F8718E|1109|timeout|who overthrew the monarchy
2|D42CF4FD-1A01-4D2D-88FF-116EB1F8718E|1109|perfect results|how the commission got stronger
3|D42CF4FD-1A01-4D2D-88FF-116EB1F8718E|1109|perfect results|sexual revolution
4|D42CF4FD-1A01-4D2D-88FF-116EB1F8718E|1109|perfect results|first searched for Pan-Germanism, but this did not load. Afterwards for parliamentary system -> perfect match
2|520FD3BC-D153-40C7-B38B-A528B5EEE8CD|1101||I wanted to know where the cell regeneration takes place
1|520FD3BC-D153-40C7-B38B-A528B5EEE8CD|1101||
3|520FD3BC-D153-40C7-B38B-A528B5EEE8CD|1101||
4|520FD3BC-D153-40C7-B38B-A528B5EEE8CD|1101||
1|007B98B2-EC69-47C4-8288-34AD73443B11|1103|timeout|
2|007B98B2-EC69-47C4-8288-34AD73443B11|1103|perfect results|very short text
3|007B98B2-EC69-47C4-8288-34AD73443B11|1103|timeout|
4|007B98B2-EC69-47C4-8288-34AD73443B11|1103|perfect results|good information
1|D8C40700-611C-4784-99FE-2CCD40FEC05D|1105|timeout|names, locations
2|D8C40700-611C-4784-99FE-2CCD40FEC05D|1105|timeout|I mainly searched for economic terms and the mentioned persons
3|D8C40700-611C-4784-99FE-2CCD40FEC05D|1105|timeout|I searched for terms related to the body structure of a frog
4|D8C40700-611C-4784-99FE-2CCD40FEC05D|1105|timeout|With the mentioning of comparisons, I searched for the first rank, respectively the ranked list. In addition for historical epochs/periods which were mentioned, mentioned abbreviations, international organisations
1|8E0DAA67-DF6E-4F0C-A8C2-374DAD59F6E8|411||chemical composition, picture of a DNA protein
2|8E0DAA67-DF6E-4F0C-A8C2-374DAD59F6E8|411|timeout|solar-like stars, evolution
3|8E0DAA67-DF6E-4F0C-A8C2-374DAD59F6E8|411|perfect results|british olympic association, first modern olympiad in Athens 1896
4|8E0DAA67-DF6E-4F0C-A8C2-374DAD59F6E8|411||WW II, Europe, East Germany
